T	P
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389.1
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	388.9
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:02	389
08:45:03	389
08:45:03	389
08:45:04	389
08:45:05	389.1
08:45:05	389
08:45:05	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:08	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:11	389
08:45:12	388.9
08:45:13	389
08:45:13	389
08:45:13	389
08:45:13	389
08:45:13	389
08:45:13	389
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:15	389.1
08:45:17	389
08:45:17	389
08:45:17	389
08:45:17	389
08:45:17	389
08:45:18	389
08:45:19	389
08:45:19	389
08:45:19	389
08:45:19	389
08:45:19	389
08:45:22	389
08:45:22	389
08:45:22	389
08:45:22	389
